congress,icpsr,statecode,district,state,party,occupancy,means,name,V0001,V0002,V0003,V0004,V0005,V0006,V0007,V0008,V0009,V0010,V0011,V0012,V0013,V0014,V0015,V0016,V0017,V0018,V0019,V0020,V0021,V0022,V0023,V0024,V0025,V0026,V0027,V0028,V0029,V0030,V0031,V0032,V0033,V0034,V0035,V0036,V0037,V0038,V0039,V0040,V0041,V0042,V0043,V0044,V0045,V0046,V0047,V0048,V0049,V0050,V0051,V0052,V0053,V0054,V0055,V0056,V0057,V0058,V0059,V0060,V0061,V0062,V0063,V0064,V0065,V0066,V0067,V0068,V0069,V0070,V0071,V0072,V0073,V0074,V0075,V0076,V0077,V0078,V0079,V0080,V0081,V0082,V0083,V0084,V0085,V0086,V0087,V0088,V0089,V0090,V0091,V0092,V0093,V0094,V0095,V0096,V0097,V0098,V0099,V0100,V0101,V0102,V0103,V0104,V0105,V0106,V0107,V0108,V0109,V0110,V0111,V0112,V0113,V0114,V0115,V0116,V0117,V0118,V0119,V0120,V0121,V0122,V0123,V0124,V0125,V0126,V0127
115,40300,81,0,ALASKA,200, , ,"MURKOWSKI, LISA",1,6,6,6,1,6,6,6,1,6,1,6,1,6,6,1,1,6,1,1,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,6,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9
115,41500,81,0,ALASKA,200, , ,"SULLIVAN, DANIEL SCOTT",1,6,6,6,1,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9
115,41704,41,0,ALABAMA,200, , ,"STRANGE, LUTHER  JOHNSON, III",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1
115,49700,41,0,ALABAMA,200, , ,"SESSIONS, JEFFERSON BEAUREGARD III (JEFF)",1,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,1,1,1,1,1,9,9,9,1,9,1,9,9,9,9,9,9,1,1,1,1,1,1,7,9,9,9,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,94659,41,0,ALABAMA,200, , ,"SHELBY, RICHARD C.",1,6,6,6,6,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,20101,42,0,ARKANSAS,200, , ,"BOOZMAN, JOHN",1,6,6,6,6,6,6,6,1,6,1,6,1,6,6,1,1,6,1,1,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,21301,42,0,ARKANSAS,200, , ,"COTTON, TOM",1,6,6,6,1,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1
115,15039,61,0,ARIZONA,200, , ,"MCCAIN, JOHN SIDNEY, III",1,6,6,6,1,6,6,6,1,6,1,6,1,6,6,1,1,6,1,1,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,6,1,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6
115,20100,61,0,ARIZONA,200, , ,"FLAKE, JEFF",1,6,1,6,1,6,6,6,1,6,1,6,1,6,6,1,1,6,1,1,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,9,9,1,1,1,9,1,1,1,6,1,1,1,1,1,1
115,41701,71,0,CALIFORNIA,100, , ,"HARRIS, KAMALA DEVI",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,1,1,1,6,1,6,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,1,1,6,6,6,1,6,6,6,6,1,1,1,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6
115,49300,71,0,CALIFORNIA,100, , ,"FEINSTEIN, DIANNE",9,1,6,1,6,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,9,9,9,6,6,6,6,6,1,1,6,6,6,6,1,6,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,1,1,6,6,6,1,1,1,6,6,1,1,1,6,6,6,6,6,6,1,6,6,6,6,1,1
115,21112,62,0,COLORADO,200, , ,"GARDNER, CORY",1,6,6,6,1,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6
115,40910,62,0,COLORADO,100, , ,"BENNET, MICHAEL F.",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,6,1,6,1,6,1,6,1,1,1,1,1,6,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,1,6,6,6,6,1,6,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,1,1,1,1,6,1,1,1,6,6,1,1,1,6,6,1,1,6,6,1,1,1,1,6,1,1
115,20707,1,0,CONNECTICUT,100, , ,"MURPHY, CHRISTOPHER",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,6,1,1,1,1,9,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,9,6,1,6,6,6,6,6,1,1,6,6,6,6,1,6,6,6,1,1,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,6,6,6,6,6,1,1,1,6,6,1,1,1,6,6,6,6,6,6,1,1,6,6,6,1,1
115,41101,1,0,CONNECTICUT,100, , ,"BLUMENTHAL, RICHARD",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,6,1,1,6,6,9,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,1,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,6,6,6,6,6,1,1,1,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6
115,15015,11,0,DELAWARE,100, , ,"CARPER, THOMAS RICHARD",6,1,6,9,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,6,1,6,1,6,1,6,1,1,1,1,1,6,1,6,1,6,6,6,6,6,6,6,6,9,6,6,6,6,6,6,6,6,1,6,6,9,9,9,6,6,6,6,6,1,1,6,6,6,6,1,6,1,1,6,6,1,6,6,1,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,1,1,6,6,6,1,1,1,6,6,1,1,1,6,6,1,1,6,6,1,1,1,1,6,1,1
115,40916,11,0,DELAWARE,100, , ,"COONS, CHRISTOPHER A.",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,6,1,6,1,6,1,6,1,1,1,1,1,6,6,6,1,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,6,6,1,6,6,9,9,9,6,6,6,6,6,1,1,6,6,6,6,1,6,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,1,1,6,6,6,1,1,1,6,6,1,1,1,6,6,6,6,6,6,1,1,1,1,6,1,1
115,14651,43,0,FLORIDA,100, , ,"NELSON, CLARENCE WILLIAM (BILL)",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,1,1,1,1,1,6,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,1,6,6,6,6,1,6,1,1,1,1,6,6,6,6,6,6,6,1,6,6,6,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,1,1,6,6,6,1,1,1,6,6,1,1,1,1,1,1,1,6,6,1,1,1,1,6,1,1
115,41102,43,0,FLORIDA,200, , ,"RUBIO, MARCO",1,6,1,6,1,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,29909,44,0,GEORGIA,200, , ,"ISAKSON, JOHNNY",1,6,6,6,6,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,1,1,9,9,9,1,1,6,6,6,1,9,1,1,1,1,1,9,9,1,1,9,9,9,9,1,1,9
115,41501,44,0,GEORGIA,200, , ,"PERDUE, DAVID ALFRED, JR.",1,6,6,6,6,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,20713,82,0,HAWAII,100, , ,"HIRONO, MAZIE",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,1,1,1,1,1,6,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,1,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,6,1,6,6,6,6,6,1,1,6,6,6,1,1,6,6,6,1,1,1,6,6,1,1,1,6,6,6,6,6,6,1,6,6,6,6,1,1
115,41112,82,0,HAWAII,100, , ,"SCHATZ, BRIAN EMANUEL",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,1,1,1,1,1,1,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,6,6,6,6,6,1,6,1,1,6,6,6,6,6,6,9,6,6,6,6,6,6,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,1,1,6,6,6,1,1,1,6,6,1,1,1,6,6,6,6,6,6,1,1,6,6,6,6,6
115,14226,31,0,IOWA,200, , ,"GRASSLEY, CHARLES ERNEST",1,6,6,6,6,6,6,6,1,6,1,6,1,6,6,1,1,6,6,1,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1
115,41502,31,0,IOWA,200, , ,"ERNST, JONI",1,6,6,6,1,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1
115,29345,63,0,IDAHO,200, , ,"CRAPO, MICHAEL DEAN",1,6,1,6,1,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1
115,40902,63,0,IDAHO,200, , ,"RISCH, JAMES",1,6,1,6,1,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1
115,15021,21,0,ILLINOIS,100, , ,"DURBIN, RICHARD JOSEPH",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,6,1,1,1,1,6,1,6,1,6,6,6,1,6,9,9,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,6,1,6,6,6,1,1,1,6,6,1,1,1,6,6,9,9,9,9,9,1,6,6,6,1,1
115,21325,21,0,ILLINOIS,100, , ,"DUCKWORTH, TAMMY",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,6,1,1,1,1,6,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,1,6,6,6,6,1,6,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,6,6,6,6,6,1,1,6,6,6,1,6,6,6,6,1,1,1,6,6,1,1,1,6,6,6,6,6,6,1,6,6,6,6,1,1
115,20717,22,0,INDIANA,100, , ,"DONNELLY, JOE",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,6,1,6,1,6,1,6,1,1,1,1,1,1,1,6,1,6,6,6,6,6,1,1,1,1,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,1,1,6,6,6,9,9,9,1,1,1,1,1,1,1,6,6,6,1,6,1,1,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,1,1,6,6,6,1,1
115,21133,22,0,INDIANA,200, , ,"YOUNG, TODD",1,6,6,6,1,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1
