congress,icpsr,statecode,district,state,party,occupancy,means,name,V0001,V0002,V0003,V0004,V0005,V0006,V0007,V0008,V0009,V0010,V0011,V0012,V0013,V0014,V0015,V0016,V0017,V0018,V0019,V0020,V0021,V0022,V0023,V0024,V0025,V0026,V0027,V0028,V0029,V0030,V0031,V0032,V0033,V0034,V0035,V0036,V0037,V0038,V0039,V0040,V0041,V0042,V0043,V0044,V0045,V0046,V0047,V0048,V0049,V0050,V0051,V0052,V0053,V0054,V0055,V0056,V0057,V0058,V0059,V0060,V0061,V0062,V0063,V0064,V0065,V0066,V0067,V0068,V0069,V0070,V0071,V0072,V0073,V0074,V0075,V0076,V0077,V0078,V0079,V0080,V0081,V0082,V0083,V0084,V0085,V0086,V0087,V0088,V0089,V0090,V0091,V0092,V0093,V0094,V0095,V0096,V0097,V0098,V0099,V0100,V0101,V0102,V0103,V0104,V0105,V0106,V0107,V0108,V0109,V0110,V0111,V0112,V0113,V0114,V0115,V0116,V0117,V0118,V0119,V0120,V0121,V0122,V0123,V0124,V0125,V0126,V0127
115,14852,32,0,KANSAS,200, , ,"ROBERTS, CHARLES PATRICK (PAT)",1,6,6,6,6,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,29722,32,0,KANSAS,200, , ,"MORAN, JERRY",1,6,1,6,1,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,14921,51,0,KENTUCKY,200, , ,"MCCONNELL, ADDISON MITCHELL (MITCH)",1,6,6,6,6,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,41104,51,0,KENTUCKY,200, , ,"PAUL, RAND",6,6,1,6,6,6,6,6,1,6,1,6,1,6,6,6,1,6,1,1,6,1,6,1,6,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,9,9,9,9,6,6,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1
115,20919,45,0,LOUISIANA,200, , ,"CASSIDY, BILL",1,6,6,6,1,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,41703,45,0,LOUISIANA,200, , ,"KENNEDY, JOHN NEELY",1,6,1,6,6,6,6,6,1,6,1,6,1,6,6,1,1,6,1,1,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1
115,14435,3,0,MASSACHUSETTS,100, , ,"MARKEY, EDWARD JOHN",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,6,1,1,1,1,6,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,6,1,6,6,1,6,1,6,6,6,6,6,1,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,1,1,6,6,6,1,6,6,6,6,1,1,1,6,6,6,1,1,6,6,6,6,6,6,1,6,6,6,6,6,6
115,41301,3,0,MASSACHUSETTS,100, , ,"WARREN, ELIZABETH",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,6,1,1,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,1,1,6,6,6,1,6,6,6,6,1,1,1,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,6
115,15408,52,0,MARYLAND,100, , ,"CARDIN, BENJAMIN LOUIS",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,1,1,1,1,1,6,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,1,6,6,6,6,1,6,6,6,6,6,1,6,1,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,6,1,6,6,6,1,1,1,6,6,1,1,1,6,6,6,6,6,6,1,6,6,6,6,1,1
115,20330,52,0,MARYLAND,100, , ,"VAN HOLLEN, CHRISTOPHER",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,6,1,1,6,1,6,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,6,1,6,6,6,1,1,1,6,6,1,1,1,6,6,6,6,6,6,1,6,6,6,6,1,1
115,41300,2,0,MAINE,328, , ,"KING, ANGUS STANLEY, JR.",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,1,6,1,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,1,1,6,6,6,1,6,1,1,1,1,1,1,1,1,6,6,6,1,6,1,1,6,1,1,1,1,1,6,6,6,6,1,1,6,6,6,1,1,6,6,6,1,1,1,6,6,1,1,1,1,1,1,1,6,6,1,1,1,1,6,1,1
115,49703,2,0,MAINE,200, , ,"COLLINS, SUSAN MARGARET",1,6,6,1,1,1,6,1,1,1,1,1,1,6,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,6,6,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1
115,20923,23,0,MICHIGAN,100, , ,"PETERS, GARY C.",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,1,1,1,1,1,6,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,1,6,6,6,6,1,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,9,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,1,1,6,6,6,1,1,1,6,6,1,1,1,6,9,6,6,6,6,1,1,6,6,6,1,1
115,29732,23,0,MICHIGAN,100, , ,"STABENOW, DEBORAH ANN",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,1,1,1,1,1,6,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,1,6,6,6,6,1,6,6,6,6,6,6,6,1,1,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,1,1,6,6,6,1,1,1,6,6,1,1,1,6,6,6,6,6,6,1,1,6,6,6,1,1
115,40700,33,0,MINNESOTA,100, , ,"KLOBUCHAR, AMY",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,1,1,1,1,1,1,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,1,6,6,6,6,1,6,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,1,1,6,6,6,1,1,1,6,6,1,1,1,6,6,6,6,6,6,1,1,6,6,6,1,1
115,40904,33,0,MINNESOTA,100, , ,"FRANKEN, AL",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,1,1,1,1,1,6,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,1,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,1,1,6,6,6,1,1,1,6,6,1,1,1,6,6,6,6,6,6,1,6,6,6,6,1,1
115,29735,34,0,MISSOURI,200, , ,"BLUNT, ROY",1,6,9,9,6,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,40701,34,0,MISSOURI,100, , ,"MCCASKILL, CLAIRE",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,1,1,1,1,1,1,1,6,1,6,6,6,6,6,1,1,1,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,9,9,6,1,1,6,6,6,6,1,6,6,1,1,1,6,6,1,1,6,6,6,1,6,6,6,6,1,1,6,1,6,6,6,6,6,1,1,6,6,6,1,1,6,6,6,1,1,1,6,6,1,1,1,1,1,1,1,6,6,1,1,6,6,6,9,1
115,14009,46,0,MISSISSIPPI,200, , ,"COCHRAN, WILLIAM THAD",1,6,6,6,6,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,29534,46,0,MISSISSIPPI,200, , ,"WICKER, ROGER F.",1,6,6,6,6,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,21338,64,0,MONTANA,200, , ,"DAINES, STEVE",1,6,1,6,1,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1
115,40702,64,0,MONTANA,100, , ,"TESTER, JON",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,6,1,6,1,6,1,6,6,1,1,1,1,6,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,1,1,6,6,6,1,6,1,1,1,1,1,1,1,1,6,6,6,1,6,6,6,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,1,1,6,6,6,1,1,1,6,6,1,1,1,1,1,1,1,6,6,1,1,6,6,6,1,1
115,29548,47,0,NORTH CAROLINA,200, , ,"BURR, RICHARD M.",1,6,6,6,1,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,41504,47,0,NORTH CAROLINA,200, , ,"TILLIS, THOMAS ROLAND (THOM)",1,6,9,9,9,9,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,41107,36,0,NORTH DAKOTA,200, , ,"HOEVEN, JOHN",1,6,6,6,1,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115,41303,36,0,NORTH DAKOTA,100, , ,"HEITKAMP, MARY KATHRYN (HEIDI)",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,6,1,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,6,1,1,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,6,1,1
115,41302,35,0,NEBRASKA,200, , ,"FISCHER, DEBRA (DEB)",1,6,6,6,1,6,6,6,1,6,1,6,1,6,6,1,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1
115,41503,35,0,NEBRASKA,200, , ,"SASSE, BENJAMIN ERIC",1,6,1,6,1,6,6,6,1,6,1,6,1,6,6,6,1,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,6,6
115,40906,4,0,NEW HAMPSHIRE,100, , ,"SHAHEEN, JEANNE",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,1,1,1,1,1,1,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,1,6,6,6,6,1,6,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,1,1,6,6,6,1,1,1,6,6,1,1,1,6,6,1,1,6,6,1,1,6,6,6,1,1
115,41702,4,0,NEW HAMPSHIRE,100, , ,"HASSAN, MARGARET (MAGGIE)",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,1,1,1,1,1,1,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,1,6,6,6,6,1,6,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,1,1,6,6,6,1,1,1,6,6,1,1,1,6,6,1,6,6,6,1,6,6,6,6,1,1
115,29373,12,0,NEW JERSEY,100, , ,"MENENDEZ, ROBERT",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,6,1,6,1,6,1,6,1,1,1,1,1,6,1,6,1,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,1,6,6,6,6,1,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,1,1,1,1,6,6,6,6,6,6,6,6,1,1,1,6,6,6,1,1,1,1,6,6,6,6,1,1,6,6,6,1,1
115,41308,12,0,NEW JERSEY,100, , ,"BOOKER, CORY ANTHONY",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,6,1,6,1,6,1,6,6,1,1,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,1,1,6,6,6,1,6,6,6,6,1,1,1,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,1,1
115,20930,66,0,NEW MEXICO,100, , ,"HEINRICH, MARTIN",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,6,1,6,1,6,1,6,1,1,1,6,1,6,6,9,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,1,6,1,6,6,6,6,6,1,6,6,6,6,6,1,6,6,6,1,1,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,6,6,6,6,6,1,1,6,6,6,1,6,6,6,6,1,1,1,6,6,1,1,1,6,6,6,6,6,6,1,1,6,6,6,6,1
115,29924,66,0,NEW MEXICO,100, , ,"UDALL, THOMAS (TOM)",6,1,6,1,6,1,1,1,6,1,6,1,6,1,1,6,6,1,6,1,1,6,1,6,1,6,6,1,1,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,6,6,1,6,1,6,6,6,6,6,1,6,6,6,6,6,1,6,6,6,1,1,6,6,1,1,6,6,6,6,6,6,6,6,1,6,1,1,6,6,6,6,6,1,1,6,6,6,1,6,6,6,6,1,1,1,6,6,1,1,1,6,6,6,6,6,6,1,1,6,6,6,6,1
